地區別_District_or_region,總計_Total_千人,教育程度_國中及以下_合計_Educational_attainment_Junior_high_and_below_Total_千人,教育程度_國中及以下_國小及以下_Educational_attainment_Junior_high_and_below_Primary_school_and_below_千人,教育程度_國中及以下_國中_Educational_attainment_Junior_high_and_below_Junior_high_千人,教育程度_高級中等_高中_高職_Educational_attainment_Senior_high_school_regular_and_vocational_千人,教育程度_大專及以上_合計_Educational_attainment_Junior_college_and_above_Total_千人,教育程度_大專及以上_專科_Educational_attainment_Junior_college_and_above_Junior_college_千人,教育程度_大專及以上_大學_Educational_attainment_Junior_college_and_above_University_千人,教育程度_大專及以上_研究所_Educational_attainment_Junior_college_and_above_Graduate_school_千人,年齡_15-24歲_合計_Age_15-24_years_Total_千人,年齡_15-24歲_15-19歲_Age_15-24_years_15-19_years_千人,年齡_15-24歲_20-24歲_Age_15-24_years_20-24_years_千人,年齡_25-44歲_合計_Age_25-44_years_Total_千人,年齡_25-44歲_25-29歲_Age_25-44_years_25-29_years_千人,年齡_25-44歲_30-34歲_Age_25-44_years_30-34_years_千人,年齡_25-44歲_35-39歲_Age_25-44_years_35-39_years_千人,年齡_25-44歲_40-44歲_Age_25-44_years_40-44_years_千人,年齡_45-64歲_合計_Age_45-64_years_Total_千人,年齡_45-64歲_45-49歲_Age_45-64_years_45-49_years_千人,年齡_45-64歲_50-54歲_Age_45-64_years_50-54_years_千人,年齡_45-64歲_55-59歲_Age_45-64_years_55-59_years_千人,年齡_45-64歲_60-64歲_Age_45-64_years_60-64_years_千人,年齡_65歲及以上_Age_65_years_and_above_千人
  臺灣地區 Taiwan Area             ,11528,1487,447,1040,3503,6538,1680,3702,1156,735,85,650,5793,1296,1382,1431,1684,4589,1529,1323,1050,688,410
     北部地區 Northern Region,5229,451,95,356,1421,3357,827,1903,627,320,36,284,2700,591,642,676,791,2070,715,604,465,286,139
         新北市 New Taipei City  ,2001,189,30,160,578,1234,364,684,186,120,13,107,1031,227,246,253,306,802,277,233,179,112,48
         臺北市 Taipei City   ,1177,43,13,30,176,958,154,561,242,61,7,54,589,117,136,156,180,484,161,140,114,70,42
         桃園市 Taoyuan City         ,1159,113,28,85,394,652,181,370,101,80,9,71,617,141,149,153,175,438,155,129,96,58,24
         基隆市 Keelung City          ,176,18,4,13,57,101,30,57,14,11,1,10,87,21,23,20,24,72,23,22,17,11,6
         新竹市 Hsinchu City          ,216,11,2,9,57,148,24,83,40,12,1,11,115,23,26,30,36,85,32,25,18,10,4
         宜蘭縣 Yilan County            ,220,51,11,40,67,102,32,56,14,16,3,14,108,27,27,26,27,88,28,25,20,15,8
         新竹縣 Hsinchu County         ,279,25,7,18,93,162,41,92,29,20,3,18,151,34,36,38,43,101,39,30,21,11,7
     中部地區 Central Region,2899,450,122,328,951,1498,404,850,244,200,25,175,1466,336,350,362,418,1120,366,320,260,174,113
         臺中市 Taichung City         ,1427,129,27,102,447,851,222,494,135,99,12,87,746,168,182,182,214,540,183,159,122,75,41
         苗栗縣 Miaoli County          ,270,40,10,30,97,133,36,75,22,19,3,16,136,31,31,34,40,105,34,30,25,16,9
         彰化縣 Changhua County        ,625,128,38,90,214,283,79,156,47,42,4,38,318,74,76,80,88,237,78,65,56,39,28
         南投縣 Nantou County          ,245,54,13,41,88,103,34,53,16,17,3,14,114,28,27,27,32,100,28,28,24,19,14
         雲林縣 Yunlin County          ,333,99,34,65,105,129,33,72,24,22,3,20,152,36,34,38,45,137,43,38,33,24,21
     南部地區 Southern Region,3142,529,205,324,1037,1576,416,893,267,196,22,174,1509,340,361,367,441,1291,415,366,300,210,145
         臺南市 Tainan City    ,959,184,79,105,298,477,114,272,91,56,6,50,463,98,110,116,139,389,125,105,92,67,51
         高雄市 Kaohsiung City,1357,144,43,102,459,754,197,429,127,83,9,74,666,147,161,162,197,561,186,166,127,81,47
         嘉義市 Chiayi City           ,123,8,2,6,35,80,21,44,15,7,0,7,62,15,15,15,17,50,16,15,11,7,4
         嘉義縣 Chiayi County          ,250,82,38,44,79,89,27,51,11,18,3,16,108,28,25,24,30,105,31,27,25,22,19
         屏東縣 Pingtung County        ,404,100,40,60,148,156,52,85,19,28,3,24,187,46,45,44,51,166,50,46,41,29,23
         澎湖縣 Penghu County,49,11,3,8,19,20,5,11,4,4,0,4,23,5,6,6,6,21,6,6,5,4,1
     東部地區 Eastern Region,258,57,25,32,94,107,32,57,18,19,2,17,118,29,29,27,34,109,32,33,25,18,12
         臺東縣 Taitung County         ,105,31,17,14,34,40,13,20,7,8,1,6,47,11,11,11,13,45,13,13,11,9,6
         花蓮縣 Hualien County         ,153,26,8,18,60,67,20,36,11,11,1,10,71,18,17,16,20,64,20,20,14,10,6
